Title,Company,Job Type,Location,Link
Senior Microsoft Dynamics 365 CRM Developer,Meem Development -,Full TimeHybrid,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Meem-Development-Egypt-70062
Content Creator Specialist,City Master Group Developments -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/City-Master-Group-Developments-Egypt-96862
Marketing Manager,City Master Group Developments -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/City-Master-Group-Developments-Egypt-96862
Sales Engineer – Mechanical Background,Hedab Alkhaleej -,Full TimeHybrid,"Riyadh, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Hedab-Alkhaleej-Egypt-51342
Payroll Specialist,MCC for confectionery manufacturing -,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/MCC-for-confectionary-industry-Egypt-101636
Executive Manager Assistant,The Egyptian Co. for Electrical Industries -,Full TimeOn-site,"10th of Ramadan City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/The Egyptian Co. for Electrical Industries-Egypt-119480
Product Pricing,Confidential -,Full TimeOn-site,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/hx2TDceCuaof-Product-Pricing-Giza-Egypt
Planning Engineer,Roya Developments -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Roya-Developments-Egypt-72895
Manager - Employee Relations,Almosafer -,Full TimeOn-site,"Mohandessin, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Almosafer-Egypt-19271
Technical Office Engineer (North Coast),Roya Developments -,Full TimeOn-site,"Alamein, Matruh, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Roya-Developments-Egypt-72895
Job Opportunity: Junior ASP,GARO -,Part TimeOn-site,"Riyadh, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/GARO-Egypt-125675
English content Writer,Casita -,Full TimeHybrid,"Dokki, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Casita-Egypt-47449
